ag_x,ag_y,ag_z,g_x,g_y,g_z
-0.889,0.219,-0.404,-0.022,0.012,-0.017
-0.886,0.22,-0.411,-0.015,0.017,-0.015
-0.893,0.225,-0.403,-0.015,0.01,-0.01
-0.891,0.222,-0.399,-0.028,-0.004,-0.021
-0.901,0.22,-0.392,-0.018,0.029,-0.007
-0.881,0.225,-0.412,-0.002,0.036,-0.01
-0.885,0.225,-0.41,-0.005,0.023,-0.01
-0.883,0.222,-0.415,-0.012,0.028,-0.013
-0.883,0.223,-0.413,-0.031,0.007,-0.022
-0.886,0.227,-0.412,-0.027,0.011,-0.026
-0.883,0.224,-0.412,-0.019,0.002,-0.017
-0.886,0.225,-0.408,-0.018,0.0,-0.015
-0.887,0.224,-0.41,-0.016,0.014,-0.015
-0.888,0.223,-0.405,-0.027,-0.01,-0.018
-0.89,0.225,-0.401,-0.015,0.006,-0.015
-0.887,0.227,-0.405,-0.012,-0.002,-0.011
-0.889,0.227,-0.402,-0.009,0.006,-0.012
-0.891,0.226,-0.399,-0.01,0.009,-0.018
-0.891,0.227,-0.402,-0.007,0.022,-0.017
-0.891,0.225,-0.398,-0.011,0.007,-0.019
-0.883,0.223,-0.411,-0.012,0.022,-0.015
-0.889,0.225,-0.404,-0.017,0.015,-0.011
-0.887,0.227,-0.404,-0.016,0.017,-0.013
-0.887,0.228,-0.405,-0.017,0.006,-0.013
-0.888,0.228,-0.404,-0.015,0.01,-0.018
